
[################################################# ] 99% 300-301 | [88]-[89] | 6.78 s | join = 93 | tmass = 93 | gaia = 341| TOP = 50000000
[##################################################] 100% 300-301 | [89]-[90] | 6.77 s | join = 23 | tmass = 23 | gaia = 124| TOP = 50000000
[                                                  ] 1% 301-302 | [-90]-[-89] | 8.72 s | join = 46 | tmass = 46 | gaia = 220| TOP = 50000000
[                                                  ] 1% 301-302 | [-89]-[-88] | 7.92 s | join = 148 | tmass = 148 | gaia = 607| TOP = 50000000
[                                                  ] 2% 301-302 | [-88]-[-87] | 11.75 s | join = 253 | tmass = 253 | gaia = 999| TOP = 50000000
[#                                                 ] 2% 301-302 | [-87]-[-86] | 11.45 s | join = 330 | tmass = 330 | gaia = 1319| TOP = 50000000
[#                                                 ] 3% 301-302 | [-86]-[-85] | 11.35 s | join = 365 | tmass = 365 | gaia = 1648| TOP = 50000000
[#                                                 ] 3% 301-302 | [-85]-[-84] | 13.02 s | join = 528 | tmass = 528 | gaia = 1971| TOP = 50000000
[#                                                 ] 4% 301-302 | [-84]-[-83] | 14.02 s | join = 625 | tmass = 625 | gaia = 2382| TOP = 50000000
[##                                                ] 4% 301-302 | [-83]-[-82] | 11.57 s | join = 685 | tmass = 685 | gaia = 2682| TOP = 50000000
[##                                                ] 5% 301-302 | [-82]-[-81] | 57.08 s | join = 715 | tmass = 715 | gaia = 2892| TOP = 50000000
[##                                                ] 6% 301-302 | [-81]-[-80] | 12.6 s | join = 838 | tmass = 838 | gaia = 3173| TOP = 50000000
[###                                               ] 6% 301-302 | [-80]-[-79] | 10.48 s | join = 865 | tmass = 865 | gaia = 3529| TOP = 50000000
[###                                               ] 7% 301-302 | [-79]-[-78] | 13.35 s | join = 1018 | tmass = 1018 | gaia = 4121| TOP = 50000000
[###                                               ] 7% 301-302 | [-78]-[-77] | 18.73 s | join = 1258 | tmass = 1258 | gaia = 4707| TOP = 50000000
[###                                               ] 8% 301-302 | [-77]-[-76] | 15.56 s | join = 1316 | tmass = 1316 | gaia = 5251| TOP = 50000000
[####                                              ] 8% 301-302 | [-76]-[-75] | 14.68 s | join = 1414 | tmass = 1414 | gaia = 5575| TOP = 50000000
[####                                              ] 9% 301-302 | [-75]-[-74] | 15.04 s | join = 1531 | tmass = 1531 | gaia = 5976| TOP = 50000000
[####                                              ] 9% 301-302 | [-74]-[-73] | 20.03 s | join = 1641 | tmass = 1641 | gaia = 6396| TOP = 50000000
[#####                                             ] 10% 301-302 | [-73]-[-72] | 14.86 s | join = 1726 | tmass = 1726 | gaia = 6555| TOP = 50000000
[#####                                             ] 11% 301-302 | [-72]-[-71] | 52.96 s | join = 1737 | tmass = 1737 | gaia = 6811| TOP = 50000000
[#####                                             ] 11% 301-302 | [-71]-[-70] | 12.47 s | join = 1765 | tmass = 1765 | gaia = 7145| TOP = 50000000
[#####                                             ] 12% 301-302 | [-70]-[-69] | 12.74 s | join = 1958 | tmass = 1958 | gaia = 7343| TOP = 50000000
[######                                            ] 12% 301-302 | [-69]-[-68] | 15.53 s | join = 1839 | tmass = 1839 | gaia = 7583| TOP = 50000000
[######                                            ] 13% 301-302 | [-68]-[-67] | 15.09 s | join = 1968 | tmass = 1968 | gaia = 7890| TOP = 50000000
[######                                            ] 13% 301-302 | [-67]-[-66] | 18.97 s | join = 2037 | tmass = 2037 | gaia = 8325| TOP = 50000000
[######                                            ] 14% 301-302 | [-66]-[-65] | 58.9 s | join = 2266 | tmass = 2266 | gaia = 8669| TOP = 50000000
[#######                                           ] 14% 301-302 | [-65]-[-64] | 16.34 s | join = 2335 | tmass = 2335 | gaia = 8843| TOP = 50000000
[#######                                           ] 15% 301-302 | [-64]-[-63] | 15.85 s | join = 2395 | tmass = 2395 | gaia = 9319| TOP = 50000000
[#######                                           ] 16% 301-302 | [-63]-[-62] | 69.63 s | join = 2536 | tmass = 2536 | gaia = 9746| TOP = 50000000
[########                                          ] 16% 301-302 | [-62]-[-61] | 13.73 s | join = 2702 | tmass = 2702 | gaia = 10099| TOP = 50000000
[########                                          ] 17% 301-302 | [-61]-[-60] | 13.52 s | join = 2768 | tmass = 2768 | gaia = 10437| TOP = 50000000
[########                                          ] 17% 301-302 | [-60]-[-59] | 13.74 s | join = 2715 | tmass = 2715 | gaia = 10573| TOP = 50000000
[########                                          ] 18% 301-302 | [-59]-[-58] | 18.39 s | join = 2657 | tmass = 2657 | gaia = 10805| TOP = 50000000
[#########                                         ] 18% 301-302 | [-58]-[-57] | 17.82 s | join = 2754 | tmass = 2754 | gaia = 11257| TOP = 50000000
[#########                                         ] 19% 301-302 | [-57]-[-56] | 16.7 s | join = 2887 | tmass = 2887 | gaia = 11610| TOP = 50000000
