
[#################################                 ] 67% 250-251 | [20]-[30] | 39.02 s | join = 3077 | tmass = 3077 | gaia = 63357| TOP = 50000000
[####################################              ] 72% 250-251 | [30]-[40] | 40.1 s | join = 2886 | tmass = 2886 | gaia = 54303| TOP = 50000000
[######################################            ] 78% 250-251 | [40]-[50] | 30.3 s | join = 2021 | tmass = 2021 | gaia = 43707| TOP = 50000000
[#########################################         ] 83% 250-251 | [50]-[60] | 34.82 s | join = 1638 | tmass = 1638 | gaia = 33699| TOP = 50000000
[############################################      ] 89% 250-251 | [60]-[70] | 31.12 s | join = 1240 | tmass = 1240 | gaia = 25565| TOP = 50000000
[###############################################   ] 94% 250-251 | [70]-[80] | 18.51 s | join = 843 | tmass = 843 | gaia = 16780| TOP = 50000000
[##################################################] 100% 250-251 | [80]-[90] | 18.19 s | join = 314 | tmass = 314 | gaia = 6761| TOP = 50000000
[##                                                ] 6% 251-252 | [-90]-[-80] | 16.95 s | join = 660 | tmass = 660 | gaia = 17771| TOP = 50000000
[#####                                             ] 11% 251-252 | [-80]-[-70] | 86.64 s | join = 3069 | tmass = 3069 | gaia = 69290| TOP = 50000000
[########                                          ] 17% 251-252 | [-70]-[-60] | 99.24 s | join = 9924 | tmass = 9924 | gaia = 167572| TOP = 50000000
[###########                                       ] 22% 251-252 | [-60]-[-50] | 134.8 s | join = 38389 | tmass = 38389 | gaia = 262108| TOP = 50000000
[#############                                     ] 28% 251-252 | [-50]-[-40] | 137.16 s | join = 95766 | tmass = 95766 | gaia = 221146| TOP = 50000000
[################                                  ] 33% 251-252 | [-40]-[-30] | 120.62 s | join = 47022 | tmass = 47022 | gaia = 229353| TOP = 50000000
[###################                               ] 39% 251-252 | [-30]-[-20] | 106.98 s | join = 20850 | tmass = 20850 | gaia = 189086| TOP = 50000000
[######################                            ] 44% 251-252 | [-20]-[-10] | 65.63 s | join = 9342 | tmass = 9342 | gaia = 112102| TOP = 50000000
[#########################                         ] 50% 251-252 | [-10]-[0] | 64.11 s | join = 6485 | tmass = 6485 | gaia = 96167| TOP = 50000000
[###########################                       ] 56% 251-252 | [0]-[10] | 50.96 s | join = 5221 | tmass = 5221 | gaia = 91453| TOP = 50000000
[##############################                    ] 61% 251-252 | [10]-[20] | 46.06 s | join = 4001 | tmass = 4001 | gaia = 76949| TOP = 50000000
[#################################                 ] 67% 251-252 | [20]-[30] | 48.23 s | join = 3250 | tmass = 3250 | gaia = 65458| TOP = 50000000
[####################################              ] 72% 251-252 | [30]-[40] | 35.17 s | join = 2627 | tmass = 2627 | gaia = 55650| TOP = 50000000
