
[##########################################        ] 86% 330-331 | [63]-[64] | 34.96 s | join = 11141 | tmass = 11141 | gaia = 43845| TOP = 50000000
[###########################################       ] 86% 330-331 | [64]-[65] | 55.99 s | join = 9143 | tmass = 9143 | gaia = 36601| TOP = 50000000
[###########################################       ] 87% 330-331 | [65]-[66] | 27.14 s | join = 8136 | tmass = 8136 | gaia = 31576| TOP = 50000000
[###########################################       ] 87% 330-331 | [66]-[67] | 60.86 s | join = 6910 | tmass = 6910 | gaia = 27573| TOP = 50000000
[###########################################       ] 88% 330-331 | [67]-[68] | 26.96 s | join = 6155 | tmass = 6155 | gaia = 24184| TOP = 50000000
[############################################      ] 88% 330-331 | [68]-[69] | 56.46 s | join = 5545 | tmass = 5545 | gaia = 21631| TOP = 50000000
[############################################      ] 89% 330-331 | [69]-[70] | 24.22 s | join = 4731 | tmass = 4731 | gaia = 18225| TOP = 50000000
[############################################      ] 89% 330-331 | [70]-[71] | 20.09 s | join = 3663 | tmass = 3663 | gaia = 14409| TOP = 50000000
[#############################################     ] 90% 330-331 | [71]-[72] | 56.34 s | join = 2811 | tmass = 2811 | gaia = 11480| TOP = 50000000
[#############################################     ] 91% 330-331 | [72]-[73] | 17.0 s | join = 2589 | tmass = 2589 | gaia = 9914| TOP = 50000000
[#############################################     ] 91% 330-331 | [73]-[74] | 18.98 s | join = 2308 | tmass = 2308 | gaia = 9234| TOP = 50000000
[#############################################     ] 92% 330-331 | [74]-[75] | 21.53 s | join = 2236 | tmass = 2236 | gaia = 8581| TOP = 50000000
[##############################################    ] 92% 330-331 | [75]-[76] | 59.0 s | join = 1815 | tmass = 1815 | gaia = 7167| TOP = 50000000
[##############################################    ] 93% 330-331 | [76]-[77] | 10.8 s | join = 1279 | tmass = 1279 | gaia = 5535| TOP = 50000000
[##############################################    ] 93% 330-331 | [77]-[78] | 13.16 s | join = 1326 | tmass = 1326 | gaia = 4920| TOP = 50000000
[##############################################    ] 94% 330-331 | [78]-[79] | 17.54 s | join = 1237 | tmass = 1237 | gaia = 4703| TOP = 50000000
[###############################################   ] 94% 330-331 | [79]-[80] | 9.67 s | join = 1048 | tmass = 1048 | gaia = 4089| TOP = 50000000
[###############################################   ] 95% 330-331 | [80]-[81] | 11.85 s | join = 815 | tmass = 815 | gaia = 3492| TOP = 50000000
[###############################################   ] 96% 330-331 | [81]-[82] | 58.71 s | join = 821 | tmass = 821 | gaia = 3015| TOP = 50000000
[################################################  ] 96% 330-331 | [82]-[83] | 8.98 s | join = 720 | tmass = 720 | gaia = 2650| TOP = 50000000
[################################################  ] 97% 330-331 | [83]-[84] | 11.4 s | join = 570 | tmass = 570 | gaia = 2168| TOP = 50000000
[################################################  ] 97% 330-331 | [84]-[85] | 12.47 s | join = 418 | tmass = 418 | gaia = 1644| TOP = 50000000
[################################################  ] 98% 330-331 | [85]-[86] | 10.65 s | join = 285 | tmass = 285 | gaia = 1206| TOP = 50000000
[################################################# ] 98% 330-331 | [86]-[87] | 10.22 s | join = 219 | tmass = 219 | gaia = 897| TOP = 50000000
[################################################# ] 99% 330-331 | [87]-[88] | 57.27 s | join = 179 | tmass = 179 | gaia = 631| TOP = 50000000
[################################################# ] 99% 330-331 | [88]-[89] | 6.8 s | join = 97 | tmass = 97 | gaia = 364| TOP = 50000000
[##################################################] 100% 330-331 | [89]-[90] | 8.88 s | join = 30 | tmass = 30 | gaia = 144| TOP = 50000000
[                                                  ] 1% 331-332 | [-90]-[-89] | 51.48 s | join = 38 | tmass = 38 | gaia = 212| TOP = 50000000
[                                                  ] 1% 331-332 | [-89]-[-88] | 9.97 s | join = 148 | tmass = 148 | gaia = 591| TOP = 50000000
[                                                  ] 2% 331-332 | [-88]-[-87] | 11.36 s | join = 251 | tmass = 251 | gaia = 950| TOP = 50000000
[#                                                 ] 2% 331-332 | [-87]-[-86] | 54.44 s | join = 306 | tmass = 306 | gaia = 1209| TOP = 50000000
[#                                                 ] 3% 331-332 | [-86]-[-85] | 16.61 s | join = 355 | tmass = 355 | gaia = 1482| TOP = 50000000
[#                                                 ] 3% 331-332 | [-85]-[-84] | 57.67 s | join = 466 | tmass = 466 | gaia = 1806| TOP = 50000000
[#                                                 ] 4% 331-332 | [-84]-[-83] | 11.06 s | join = 530 | tmass = 530 | gaia = 2001| TOP = 50000000
[##                                                ] 4% 331-332 | [-83]-[-82] | 11.34 s | join = 512 | tmass = 512 | gaia = 2174| TOP = 50000000
[##                                                ] 5% 331-332 | [-82]-[-81] | 11.11 s | join = 578 | tmass = 578 | gaia = 2441| TOP = 50000000
[##                                                ] 6% 331-332 | [-81]-[-80] | 59.55 s | join = 676 | tmass = 676 | gaia = 2701| TOP = 50000000
[###                                               ] 6% 331-332 | [-80]-[-79] | 12.94 s | join = 797 | tmass = 797 | gaia = 2859| TOP = 50000000
[###                                               ] 7% 331-332 | [-79]-[-78] | 9.43 s | join = 727 | tmass = 727 | gaia = 2997| TOP = 50000000
[###                                               ] 7% 331-332 | [-78]-[-77] | 61.27 s | join = 831 | tmass = 831 | gaia = 3176| TOP = 50000000
[###                                               ] 8% 331-332 | [-77]-[-76] | 11.98 s | join = 890 | tmass = 890 | gaia = 3380| TOP = 50000000
[####                                              ] 8% 331-332 | [-76]-[-75] | 13.27 s | join = 892 | tmass = 892 | gaia = 3654| TOP = 50000000
[####                                              ] 9% 331-332 | [-75]-[-74] | 62.04 s | join = 1017 | tmass = 1017 | gaia = 3836| TOP = 50000000
[####                                              ] 9% 331-332 | [-74]-[-73] | 12.16 s | join = 950 | tmass = 950 | gaia = 3876| TOP = 50000000
[#####                                             ] 10% 331-332 | [-73]-[-72] | 14.34 s | join = 1033 | tmass = 1033 | gaia = 4142| TOP = 50000000
[#####                                             ] 11% 331-332 | [-72]-[-71] | 60.95 s | join = 1216 | tmass = 1216 | gaia = 4476| TOP = 50000000
[#####                                             ] 11% 331-332 | [-71]-[-70] | 15.28 s | join = 1207 | tmass = 1207 | gaia = 4640| TOP = 50000000
[#####                                             ] 12% 331-332 | [-70]-[-69] | 12.57 s | join = 1296 | tmass = 1296 | gaia = 4812| TOP = 50000000
[######                                            ] 12% 331-332 | [-69]-[-68] | 12.6 s | join = 1263 | tmass = 1263 | gaia = 4910| TOP = 50000000
[######                                            ] 13% 331-332 | [-68]-[-67] | 65.79 s | join = 1257 | tmass = 1257 | gaia = 4983| TOP = 50000000
[######                                            ] 13% 331-332 | [-67]-[-66] | 14.36 s | join = 1255 | tmass = 1255 | gaia = 5015| TOP = 50000000
[######                                            ] 14% 331-332 | [-66]-[-65] | 12.81 s | join = 1288 | tmass = 1288 | gaia = 5070| TOP = 50000000
[#######                                           ] 14% 331-332 | [-65]-[-64] | 12.75 s | join = 1252 | tmass = 1252 | gaia = 5101| TOP = 50000000
[#######                                           ] 15% 331-332 | [-64]-[-63] | 12.68 s | join = 1280 | tmass = 1280 | gaia = 5082| TOP = 50000000
[#######                                           ] 16% 331-332 | [-63]-[-62] | 15.67 s | join = 1271 | tmass = 1271 | gaia = 5225| TOP = 50000000
[########                                          ] 16% 331-332 | [-62]-[-61] | 66.5 s | join = 1424 | tmass = 1424 | gaia = 5459| TOP = 50000000
[########                                          ] 17% 331-332 | [-61]-[-60] | 13.21 s | join = 1439 | tmass = 1439 | gaia = 5721| TOP = 50000000
[########                                          ] 17% 331-332 | [-60]-[-59] | 16.33 s | join = 1430 | tmass = 1430 | gaia = 5654| TOP = 50000000
[########                                          ] 18% 331-332 | [-59]-[-58] | 10.81 s | join = 1401 | tmass = 1401 | gaia = 5491| TOP = 50000000
[#########                                         ] 18% 331-332 | [-58]-[-57] | 10.6 s | join = 1437 | tmass = 1437 | gaia = 5643| TOP = 50000000
[#########                                         ] 19% 331-332 | [-57]-[-56] | 13.39 s | join = 1536 | tmass = 1536 | gaia = 5767| TOP = 50000000
