
[#################################                 ] 67% 38-39 | [-50]-[-40] | 61.59 s | join = 10148 | tmass = 10148 | gaia = 40221| TOP = 50000000
[##################################################] 100% 38-39 | [-40]-[-30] | 32.15 s | join = 10283 | tmass = 10283 | gaia = 40998| TOP = 50000000
[################                                  ] 33% 39-40 | [-60]-[-50] | 28.76 s | join = 10797 | tmass = 10797 | gaia = 39320| TOP = 50000000
[#################################                 ] 67% 39-40 | [-50]-[-40] | 32.27 s | join = 10383 | tmass = 10383 | gaia = 39863| TOP = 50000000
[##################################################] 100% 39-40 | [-40]-[-30] | 44.21 s | join = 11277 | tmass = 11277 | gaia = 42805| TOP = 50000000
[################                                  ] 33% 40-41 | [-60]-[-50] | 33.02 s | join = 10396 | tmass = 10396 | gaia = 38577| TOP = 50000000
[#################################                 ] 67% 40-41 | [-50]-[-40] | 30.53 s | join = 10537 | tmass = 10537 | gaia = 40599| TOP = 50000000
[##################################################] 100% 40-41 | [-40]-[-30] | 43.92 s | join = 11541 | tmass = 11541 | gaia = 44577| TOP = 50000000
[################                                  ] 33% 41-42 | [-60]-[-50] | 46.8 s | join = 10590 | tmass = 10590 | gaia = 38179| TOP = 50000000
[#################################                 ] 67% 41-42 | [-50]-[-40] | 66.67 s | join = 10608 | tmass = 10608 | gaia = 40805| TOP = 50000000
[##################################################] 100% 41-42 | [-40]-[-30] | 34.8 s | join = 11233 | tmass = 11233 | gaia = 43626| TOP = 50000000
[################                                  ] 33% 42-43 | [-60]-[-50] | 31.89 s | join = 10295 | tmass = 10295 | gaia = 38879| TOP = 50000000
[#################################                 ] 67% 42-43 | [-50]-[-40] | 34.02 s | join = 10457 | tmass = 10457 | gaia = 41484| TOP = 50000000
[##################################################] 100% 42-43 | [-40]-[-30] | 44.78 s | join = 10856 | tmass = 10856 | gaia = 43126| TOP = 50000000
[################                                  ] 33% 43-44 | [-60]-[-50] | 67.79 s | join = 10692 | tmass = 10692 | gaia = 39686| TOP = 50000000
[#################################                 ] 67% 43-44 | [-50]-[-40] | 34.91 s | join = 11294 | tmass = 11294 | gaia = 42747| TOP = 50000000
[##################################################] 100% 43-44 | [-40]-[-30] | 37.86 s | join = 11180 | tmass = 11180 | gaia = 43888| TOP = 50000000
[################                                  ] 33% 44-45 | [-60]-[-50] | 78.03 s | join = 10625 | tmass = 10625 | gaia = 39936| TOP = 50000000
