
[##################################################] 100% 330-331 | [50]-[60] | 163.56 s | join = 231451 | tmass = 231451 | gaia = 267579| TOP = 50000000
[################                                  ] 33% 331-332 | [30]-[40] | 140.78 s | join = 83343 | tmass = 83343 | gaia = 229682| TOP = 50000000
[#################################                 ] 67% 331-332 | [40]-[50] | 203.4 s | join = 140441 | tmass = 140441 | gaia = 228730| TOP = 50000000
[##################################################] 100% 331-332 | [50]-[60] | 168.63 s | join = 219060 | tmass = 219060 | gaia = 250140| TOP = 50000000
[################                                  ] 33% 332-333 | [30]-[40] | 159.51 s | join = 76326 | tmass = 76326 | gaia = 224764| TOP = 50000000
[#################################                 ] 67% 332-333 | [40]-[50] | 143.22 s | join = 134294 | tmass = 134294 | gaia = 222521| TOP = 50000000
[##################################################] 100% 332-333 | [50]-[60] | 168.07 s | join = 221175 | tmass = 221175 | gaia = 258919| TOP = 50000000
[################                                  ] 33% 333-334 | [30]-[40] | 142.93 s | join = 69666 | tmass = 69666 | gaia = 255382| TOP = 50000000
[#################################                 ] 67% 333-334 | [40]-[50] | 170.89 s | join = 129772 | tmass = 129772 | gaia = 232398| TOP = 50000000
[##################################################] 100% 333-334 | [50]-[60] | 156.0 s | join = 216566 | tmass = 216566 | gaia = 243420| TOP = 50000000
[################                                  ] 33% 334-335 | [30]-[40] | 141.79 s | join = 68422 | tmass = 68422 | gaia = 227860| TOP = 50000000
[#################################                 ] 67% 334-335 | [40]-[50] | 181.33 s | join = 126712 | tmass = 126712 | gaia = 221599| TOP = 50000000
[##################################################] 100% 334-335 | [50]-[60] | 157.25 s | join = 209501 | tmass = 209501 | gaia = 241122| TOP = 50000000
[################                                  ] 33% 335-336 | [30]-[40] | 173.48 s | join = 67173 | tmass = 67173 | gaia = 219959| TOP = 50000000
[#################################                 ] 67% 335-336 | [40]-[50] | 207.26 s | join = 122887 | tmass = 122887 | gaia = 222058| TOP = 50000000
[##################################################] 100% 335-336 | [50]-[60] | 150.3 s | join = 195412 | tmass = 195412 | gaia = 231064| TOP = 50000000
[################                                  ] 33% 336-337 | [30]-[40] | 144.77 s | join = 61442 | tmass = 61442 | gaia = 259595| TOP = 50000000
[#################################                 ] 67% 336-337 | [40]-[50] | 185.59 s | join = 116734 | tmass = 116734 | gaia = 230666| TOP = 50000000
