
[######################                            ] 44% 74-75 | [-20]-[-10] | 49.99 s | join = 3416 | tmass = 3416 | gaia = 58002| TOP = 108072
[#########################                         ] 50% 74-75 | [-10]-[0] | 44.86 s | join = 4238 | tmass = 4238 | gaia = 66251| TOP = 116004
[###########################                       ] 56% 74-75 | [0]-[10] | 60.07 s | join = 5194 | tmass = 5194 | gaia = 75041| TOP = 132502
[##############################                    ] 61% 74-75 | [10]-[20] | 56.54 s | join = 6401 | tmass = 6401 | gaia = 83763| TOP = 150082
[#################################                 ] 67% 74-75 | [20]-[30] | 69.82 s | join = 8313 | tmass = 8313 | gaia = 94789| TOP = 167526
[####################################              ] 72% 74-75 | [30]-[40] | 74.91 s | join = 11341 | tmass = 11341 | gaia = 122746| TOP = 189578
[######################################            ] 78% 74-75 | [40]-[50] | 79.02 s | join = 13909 | tmass = 13909 | gaia = 125235| TOP = 245492
[#########################################         ] 83% 74-75 | [50]-[60] | 48.63 s | join = 6843 | tmass = 6843 | gaia = 81859| TOP = 250470
[############################################      ] 89% 74-75 | [60]-[70] | 38.09 s | join = 3482 | tmass = 3482 | gaia = 52541| TOP = 163718
[###############################################   ] 94% 74-75 | [70]-[80] | 34.34 s | join = 1622 | tmass = 1622 | gaia = 32318| TOP = 105082
[##################################################] 100% 74-75 | [80]-[90] | 18.83 s | join = 413 | tmass = 413 | gaia = 10212| TOP = 64636
[##                                                ] 6% 75-76 | [-90]-[-80] | 14.44 s | join = 390 | tmass = 390 | gaia = 9236| TOP = 50000
[#####                                             ] 11% 75-76 | [-80]-[-70] | 24.84 s | join = 1767 | tmass = 1767 | gaia = 20395| TOP = 50000
[########                                          ] 17% 75-76 | [-70]-[-60] | 39.94 s | join = 3662 | tmass = 3662 | gaia = 29878| TOP = 50000
[###########                                       ] 22% 75-76 | [-60]-[-50] | 33.74 s | join = 1904 | tmass = 1904 | gaia = 38334| TOP = 59756
[#############                                     ] 28% 75-76 | [-50]-[-40] | 32.46 s | join = 2198 | tmass = 2198 | gaia = 44673| TOP = 76668
[################                                  ] 33% 75-76 | [-40]-[-30] | 47.83 s | join = 2626 | tmass = 2626 | gaia = 50974| TOP = 89346
[###################                               ] 39% 75-76 | [-30]-[-20] | 37.25 s | join = 3025 | tmass = 3025 | gaia = 56027| TOP = 101948
[######################                            ] 44% 75-76 | [-20]-[-10] | 42.05 s | join = 3356 | tmass = 3356 | gaia = 59443| TOP = 112054
[#########################                         ] 50% 75-76 | [-10]-[0] | 52.69 s | join = 4404 | tmass = 4404 | gaia = 67952| TOP = 118886
[###########################                       ] 56% 75-76 | [0]-[10] | 64.45 s | join = 5389 | tmass = 5389 | gaia = 77741| TOP = 135904
[##############################                    ] 61% 75-76 | [10]-[20] | 58.86 s | join = 6699 | tmass = 6699 | gaia = 86345| TOP = 155482
[#################################                 ] 67% 75-76 | [20]-[30] | 64.07 s | join = 8989 | tmass = 8989 | gaia = 98428| TOP = 172690
[####################################              ] 72% 75-76 | [30]-[40] | 91.49 s | join = 11978 | tmass = 11978 | gaia = 127805| TOP = 196856
[######################################            ] 78% 75-76 | [40]-[50] | 85.11 s | join = 13641 | tmass = 13641 | gaia = 129440| TOP = 255610
[#########################################         ] 83% 75-76 | [50]-[60] | 60.1 s | join = 7009 | tmass = 7009 | gaia = 84024| TOP = 258880
[############################################      ] 89% 75-76 | [60]-[70] | 42.12 s | join = 3426 | tmass = 3426 | gaia = 52895| TOP = 168048
[###############################################   ] 94% 75-76 | [70]-[80] | 28.43 s | join = 1564 | tmass = 1564 | gaia = 32257| TOP = 105790
[##################################################] 100% 75-76 | [80]-[90] | 16.52 s | join = 431 | tmass = 431 | gaia = 10247| TOP = 64514
[##                                                ] 6% 76-77 | [-90]-[-80] | 19.65 s | join = 402 | tmass = 402 | gaia = 9352| TOP = 50000
[#####                                             ] 11% 76-77 | [-80]-[-70] | 24.75 s | join = 1905 | tmass = 1905 | gaia = 20435| TOP = 50000
[########                                          ] 17% 76-77 | [-70]-[-60] | 31.65 s | join = 4221 | tmass = 4221 | gaia = 30007| TOP = 50000
[###########                                       ] 22% 76-77 | [-60]-[-50] | 42.42 s | join = 1883 | tmass = 1883 | gaia = 38939| TOP = 60014
[#############                                     ] 28% 76-77 | [-50]-[-40] | 36.36 s | join = 2292 | tmass = 2292 | gaia = 46032| TOP = 77878
[################                                  ] 33% 76-77 | [-40]-[-30] | 50.82 s | join = 2702 | tmass = 2702 | gaia = 52793| TOP = 92064
[###################                               ] 39% 76-77 | [-30]-[-20] | 38.62 s | join = 3128 | tmass = 3128 | gaia = 57722| TOP = 105586
[######################                            ] 44% 76-77 | [-20]-[-10] | 40.33 s | join = 3587 | tmass = 3587 | gaia = 61481| TOP = 115444
[#########################                         ] 50% 76-77 | [-10]-[0] | 50.03 s | join = 4524 | tmass = 4524 | gaia = 70455| TOP = 122962
[###########################                       ] 56% 76-77 | [0]-[10] | 56.13 s | join = 5757 | tmass = 5757 | gaia = 80396| TOP = 140910
[##############################                    ] 61% 76-77 | [10]-[20] | 67.55 s | join = 7117 | tmass = 7117 | gaia = 90446| TOP = 160792
[#################################                 ] 67% 76-77 | [20]-[30] | 83.99 s | join = 9510 | tmass = 9510 | gaia = 105667| TOP = 180892
[####################################              ] 72% 76-77 | [30]-[40] | 102.43 s | join = 12799 | tmass = 12799 | gaia = 134491| TOP = 211334
