
[####################################              ] 72% 14-15 | [30]-[40] | 38.21 s | join = 3466 | tmass = 3466 | gaia = 56454| TOP = 81536
[######################################            ] 78% 14-15 | [40]-[50] | 59.88 s | join = 5222 | tmass = 5222 | gaia = 87376| TOP = 112908
[#########################################         ] 83% 14-15 | [50]-[60] | 76.16 s | join = 9370 | tmass = 9370 | gaia = 124421| TOP = 174752
[############################################      ] 89% 14-15 | [60]-[70] | 74.09 s | join = 9946 | tmass = 9946 | gaia = 104878| TOP = 248842
[###############################################   ] 94% 14-15 | [70]-[80] | 34.34 s | join = 2831 | tmass = 2831 | gaia = 46246| TOP = 209756
[##################################################] 100% 14-15 | [80]-[90] | 16.14 s | join = 510 | tmass = 510 | gaia = 13084| TOP = 92492
[##                                                ] 6% 15-16 | [-90]-[-80] | 13.61 s | join = 336 | tmass = 336 | gaia = 7801| TOP = 50000
[#####                                             ] 11% 15-16 | [-80]-[-70] | 18.81 s | join = 1737 | tmass = 1737 | gaia = 16234| TOP = 50000
[########                                          ] 17% 15-16 | [-70]-[-60] | 20.47 s | join = 1103 | tmass = 1103 | gaia = 20689| TOP = 50000
[###########                                       ] 22% 15-16 | [-60]-[-50] | 20.67 s | join = 1182 | tmass = 1182 | gaia = 22573| TOP = 50000
[#############                                     ] 28% 15-16 | [-50]-[-40] | 26.0 s | join = 1233 | tmass = 1233 | gaia = 23093| TOP = 50000
[################                                  ] 33% 15-16 | [-40]-[-30] | 20.74 s | join = 1324 | tmass = 1324 | gaia = 22254| TOP = 50000
[###################                               ] 39% 15-16 | [-30]-[-20] | 20.76 s | join = 1478 | tmass = 1478 | gaia = 22068| TOP = 50000
[######################                            ] 44% 15-16 | [-20]-[-10] | 31.13 s | join = 1595 | tmass = 1595 | gaia = 24061| TOP = 50000
[#########################                         ] 50% 15-16 | [-10]-[0] | 38.68 s | join = 1707 | tmass = 1707 | gaia = 25647| TOP = 50000
[###########################                       ] 56% 15-16 | [0]-[10] | 31.77 s | join = 1957 | tmass = 1957 | gaia = 27666| TOP = 51294
[##############################                    ] 61% 15-16 | [10]-[20] | 26.24 s | join = 2111 | tmass = 2111 | gaia = 32345| TOP = 55332
[#################################                 ] 67% 15-16 | [20]-[30] | 30.84 s | join = 2748 | tmass = 2748 | gaia = 40592| TOP = 64690
